Date,Price
11/14/1990,808.55
11/15/1990,804.92
11/16/1990,800.87
11/19/1990,814.9
11/20/1990,809.28
11/21/1990,806.28
11/22/1990,818.05
11/23/1990,818.78
11/26/1990,813.75
11/27/1990,810.59
11/28/1990,799.71
11/29/1990,789.19
11/30/1990,777.6
12/3/1990,782.32
12/4/1990,772.4
12/5/1990,778.91
12/6/1990,801.63
12/7/1990,823.8
12/10/1990,825.85
12/11/1990,825.46
12/12/1990,825.26
12/13/1990,835.86
12/14/1990,825.87
12/17/1990,813.55
12/18/1990,819.04
12/19/1990,821.84
12/20/1990,807.08
12/21/1990,789.01
12/24/1990,784.6
12/25/1990,784.6
12/26/1990,781.24
12/27/1990,782.59
12/28/1990,791.74
12/31/1990,788.98
1/1/1991,788.98
1/2/1991,793.93
1/3/1991,796.59
1/4/1991,793.15
1/7/1991,773.16
1/8/1991,760.88
1/9/1991,774.73
1/10/1991,769.95
1/11/1991,772.6
1/14/1991,762.12
1/15/1991,759.25
1/16/1991,745.37
1/17/1991,788.52
1/18/1991,797.02
1/21/1991,793.54
1/22/1991,796.68
1/23/1991,787.27
1/24/1991,799.67
1/25/1991,804.56
1/28/1991,807.95
1/29/1991,808.13
1/30/1991,806.12
1/31/1991,813.17
2/1/1991,814.43
2/4/1991,821.31
2/5/1991,837.96
2/6/1991,848.45
2/7/1991,858.62
2/8/1991,865.88
2/11/1991,875.51
2/12/1991,884.68
2/13/1991,884.92
2/14/1991,890.05
2/15/1991,887.76
2/18/1991,905.67
2/19/1991,903.42
2/20/1991,893.32
2/21/1991,892.17
2/22/1991,893.46
2/25/1991,898.26
2/26/1991,886.77
2/27/1991,886.9
2/28/1991,899.06
3/1/1991,878.49
3/4/1991,874.08
3/5/1991,884.13
3/6/1991,889.15
3/7/1991,890.87
3/8/1991,891.99
3/11/1991,880.02
3/12/1991,888.19
3/13/1991,877.47
3/14/1991,890.15
3/15/1991,891.97
3/18/1991,883.59
3/19/1991,868.29
3/20/1991,853.59
3/21/1991,867.48
3/22/1991,862.81
3/25/1991,854.46
3/26/1991,844.39
3/27/1991,842.85
3/28/1991,836.77
3/29/1991,843.88
4/1/1991,841.64
4/2/1991,855.88
4/3/1991,878.87
4/4/1991,880.03
4/5/1991,890.49
4/8/1991,876.3
4/9/1991,872.85
4/10/1991,871.44
4/11/1991,871.62
4/12/1991,878.68
4/15/1991,888.38
4/16/1991,884.44
4/17/1991,890.16
4/18/1991,880.74
4/19/1991,861.64
4/22/1991,840.62
4/23/1991,847.66
4/24/1991,847.06
4/25/1991,839.66
4/26/1991,841.62
4/29/1991,839.11
4/30/1991,851.01
5/1/1991,866.99
5/2/1991,862.17
5/3/1991,856.28
5/6/1991,854.52
5/7/1991,861.03
5/8/1991,856.14
5/9/1991,851.51
5/10/1991,858.98
5/13/1991,850.26
5/14/1991,849.54
5/15/1991,854.62
5/16/1991,854.89
5/17/1991,850.56
5/20/1991,842.01
5/21/1991,848.02
5/22/1991,846.75
5/23/1991,848.92
5/24/1991,849.56
5/27/1991,849.5
5/28/1991,848.45
5/29/1991,857.22
5/30/1991,856.13
5/31/1991,858.71
6/3/1991,852.29
6/4/1991,848.81
6/5/1991,844.81
6/6/1991,840.38
6/7/1991,832.83
6/10/1991,821.16
6/11/1991,825.77
6/12/1991,819.44
6/13/1991,815.74
6/14/1991,824.84
6/17/1991,819.34
6/18/1991,813.38
6/19/1991,804.68
6/20/1991,813.18
6/21/1991,814.75
6/24/1991,805.23
6/25/1991,807.85
6/26/1991,805.34
6/27/1991,802.66
6/28/1991,794.46
7/1/1991,805.9
7/2/1991,800.75
7/3/1991,787.98
7/4/1991,783.13
7/5/1991,784.86
7/8/1991,773.68
7/9/1991,784.48
7/10/1991,793.96
7/11/1991,793.44
7/12/1991,802.46
7/15/1991,813.13
7/16/1991,812.61
7/17/1991,807.73
7/18/1991,809.75
7/19/1991,812.92
7/22/1991,811.14
7/23/1991,814.57
7/24/1991,825.82
7/25/1991,818.15
7/26/1991,827.04
7/29/1991,822.16
7/30/1991,829.11
7/31/1991,832.3
8/1/1991,831.51
8/2/1991,834.15
8/5/1991,832.14
8/6/1991,829.36
8/7/1991,834.06
8/8/1991,831.44
8/9/1991,824.95
8/12/1991,817.28
8/13/1991,817.27
8/14/1991,823.42
8/15/1991,821.93
8/16/1991,808.99
8/19/1991,752.08
8/20/1991,770.91
8/21/1991,794.71
8/22/1991,815.41
8/23/1991,804.92
8/26/1991,800.18
8/27/1991,797.77
8/28/1991,798.98
8/29/1991,808.75
8/30/1991,814.18
9/2/1991,819.97
9/3/1991,819.58
9/4/1991,822.22
9/5/1991,822.48
9/6/1991,823.79
9/9/1991,831.37
9/10/1991,829.59
9/11/1991,827.6
9/12/1991,831.88
9/13/1991,843.84
9/16/1991,843.07
9/17/1991,849.62
9/18/1991,840.77
9/19/1991,838.97
9/20/1991,836.44
9/23/1991,843.91
9/24/1991,846.75
9/25/1991,849.49
9/26/1991,851.26
9/27/1991,848.19
9/30/1991,858.85
10/1/1991,864.47
10/2/1991,871.93
10/3/1991,878.99
10/4/1991,878.49
10/7/1991,872.74
10/8/1991,864.42
10/9/1991,860.19
10/10/1991,861.41
10/11/1991,860.31
10/14/1991,858.76
10/15/1991,857.38
10/16/1991,858.46
10/17/1991,863.97
10/18/1991,873.35
10/21/1991,869.98
10/22/1991,864.21
10/23/1991,859.52
10/24/1991,861.19
10/25/1991,856.6
10/28/1991,853.94
10/29/1991,859.69
10/30/1991,866.08
10/31/1991,869.77
11/1/1991,873.46
11/4/1991,881.44
11/5/1991,878.73
11/6/1991,875.19
11/7/1991,871.51
11/8/1991,870.75
11/11/1991,869.48
11/12/1991,876.29
11/13/1991,872.19
11/14/1991,869.36
11/15/1991,864.02
11/18/1991,855.39
11/19/1991,850.52
11/20/1991,847.47
11/21/1991,849.07
11/22/1991,849.66
11/25/1991,850.8
11/26/1991,849.56
11/27/1991,836.59
11/28/1991,831.65
11/29/1991,827.91
12/2/1991,818.27
12/3/1991,825.61
12/4/1991,830.14
12/5/1991,827.22
12/6/1991,829.6
12/9/1991,829.54
12/10/1991,820.44
12/11/1991,811.54
12/12/1991,820.26
12/13/1991,835.56
12/16/1991,839.21
12/17/1991,838.27
12/18/1991,832.22
12/19/1991,820.89
12/20/1991,818.46
12/23/1991,825.27
12/24/1991,824.46
12/25/1991,824.46
12/26/1991,843.45
12/27/1991,849.13
12/30/1991,860.76
12/31/1991,869.35
1/1/1992,869.35
1/2/1992,870.94
1/3/1992,869.2
1/6/1992,890.3
1/7/1992,887.34
1/8/1992,868.13
1/9/1992,871.03
1/10/1992,842
1/13/1992,830.85
1/14/1992,840.74
1/15/1992,828.59
1/16/1992,829.44
1/17/1992,829.11
1/20/1992,841.37
1/21/1992,842.07
1/22/1992,851.88
1/23/1992,850.14
1/24/1992,835.58
1/27/1992,834.26
1/28/1992,836.78
1/29/1992,841.67
1/30/1992,841.3
1/31/1992,849.52
2/3/1992,848.03
2/4/1992,849.52
2/5/1992,852.19
2/6/1992,853.89
2/7/1992,856.84
2/10/1992,848.56
2/11/1992,842.57
2/12/1992,832.54
2/13/1992,827.4
2/14/1992,815.33
2/17/1992,822.64
2/18/1992,811.28
2/19/1992,803.55
2/20/1992,803.48
2/21/1992,812.68
2/24/1992,809.16
2/25/1992,806.72
2/26/1992,811.61
2/27/1992,817.9
2/28/1992,817.86
3/2/1992,820.02
3/3/1992,808.04
3/4/1992,803.36
3/5/1992,792.25
3/6/1992,790.92
3/9/1992,787.8
3/10/1992,787.89
3/11/1992,776.58
3/12/1992,768.88
3/13/1992,769.02
3/16/1992,761.7
3/17/1992,766.35
3/18/1992,761.98
3/19/1992,766.94
3/20/1992,761.78
3/23/1992,764.05
3/24/1992,763.48
3/25/1992,767.61
3/26/1992,768.45
3/27/1992,762.53
3/30/1992,763.53
3/31/1992,762.62
4/1/1992,739.67
4/2/1992,734.92
4/3/1992,737.26
4/6/1992,744.14
4/7/1992,732.54
4/8/1992,716.04
4/9/1992,711.49
4/10/1992,749.69
4/13/1992,741.56
4/14/1992,748.6
4/15/1992,760.38
4/16/1992,757.19
4/17/1992,753.73
4/20/1992,746.29
4/21/1992,743.97
4/22/1992,746.61
4/23/1992,754.85
4/24/1992,759.79
4/27/1992,762.74
4/28/1992,763.18
4/29/1992,764.6
4/30/1992,764.95
5/1/1992,766.66
5/4/1992,769.75
5/5/1992,769.95
5/6/1992,781.87
5/7/1992,791.52
5/8/1992,787.66
5/11/1992,792.49
5/12/1992,795.21
5/13/1992,806.53
5/14/1992,804.76
5/15/1992,791.03
5/18/1992,806.13
5/19/1992,811.17
5/20/1992,811.23
5/21/1992,805.13
5/22/1992,803.35
5/25/1992,809.21
5/26/1992,807.63
5/27/1992,792.69
5/28/1992,795.62
5/29/1992,814.85
6/1/1992,810.71
6/2/1992,809.33
6/3/1992,807.44
6/4/1992,804.16
6/5/1992,804.75
6/8/1992,800.83
6/9/1992,801.29
6/10/1992,797.4
6/11/1992,796.31
6/12/1992,795.31
6/15/1992,787.58
6/16/1992,790.45
6/17/1992,778.47
6/18/1992,769.22
6/19/1992,775.39
6/22/1992,764.51
6/23/1992,770.35
6/24/1992,766.23
6/25/1992,779.48
6/26/1992,772.55
6/29/1992,774.55
6/30/1992,774.89
7/1/1992,783.4
7/2/1992,794.49
7/3/1992,792.43
7/6/1992,789.72
7/7/1992,789.35
7/8/1992,786.29
7/9/1992,786.21
7/10/1992,785.86
7/13/1992,796.26
7/14/1992,794.61
7/15/1992,797.33
7/16/1992,795.08
7/17/1992,786.42
7/20/1992,770.42
7/21/1992,755.32
7/22/1992,745.35
7/23/1992,750.85
7/24/1992,737.4
7/27/1992,735.78
7/28/1992,741.6
7/29/1992,742.49
7/30/1992,744.4
7/31/1992,753.7
8/3/1992,752.6
8/4/1992,751.2
8/5/1992,753.69
8/6/1992,748.43
8/7/1992,741.94
8/10/1992,728.99
8/11/1992,720.33
8/12/1992,717.68
8/13/1992,719.99
8/14/1992,726.1
8/17/1992,731.59
8/18/1992,720.42
8/19/1992,723.12
8/20/1992,734.8
8/21/1992,756.34
8/24/1992,774.57
8/25/1992,761.37
8/26/1992,764.31
8/27/1992,782.4
8/28/1992,797.87
8/31/1992,799.58
9/1/1992,796.6
9/2/1992,793.96
9/3/1992,813.64
9/4/1992,816.38
9/7/1992,813.89
9/8/1992,810.12
9/9/1992,811.02
9/10/1992,807.31
